mode,question,answer,elements
visual,"How many stars ⭐ can you count?","3","⭐,⭐⭐,⭐⭐⭐"
visual,"Count the apples 🍎 in the picture","5","🍎,🍎🍎,🍎🍎🍎,🍎🍎🍎🍎,🍎🍎🍎🍎🍎"
visual,"How many circles 🔵 do you see?","4","🔵,🔵🔵,🔵🔵🔵,🔵🔵🔵🔵"
visual,"Look at these hearts ❤️. How many are there?","6","❤️,❤️❤️,❤️❤️❤️,❤️❤️❤️❤️,❤️❤️❤️❤️❤️,❤️❤️❤️❤️❤️❤️"
visual,"Count the balloons 🎈 floating here","2","🎈,🎈🎈"
auditory,"Clap sound plays 2 times. How many claps did you hear?","2",""
auditory,"Bell rings 4 times. How many bells did you hear?","4",""
auditory,"Voice says: ""One… two… three."" How many numbers did I say?","3",""
auditory,"Drum beats 5 times. How many drum beats were there?","5",""
auditory,"Voice says: ""Dog… Dog… Dog… Dog."" How many times did I say Dog?","4",""
kinesthetic,"kinesthetic_task_1.html","done",""
kinesthetic,"kinesthetic_task_2.html","done",""
kinesthetic,"kinesthetic_task_3.html","done",""
kinesthetic,"kinesthetic_task_4.html","done",""
kinesthetic,"kinesthetic_task_5.html","done",""
